Agama_agama
Ameiva_ameiva
Anolis_carolinensis
Anolis_chlorocyanus
Anolis_cristatellus
Anolis_cybotes
Anolis_distichus
Anolis_equestris
Anolis_garmani
Anolis_porcatus
Anolis_sagrei
Aspidoscelis_motaguae
Basiliscus_vittatus
Cnemidophorus_lemniscatus
Ctenosaura_pectinata
Ctenosaura_similis
Eutropis_multifasciata
Furcifer_oustaleti
Gekko_gecko
Hemidactylus_frenatus
Hemidactylus_garnotii
Hemidactylus_mabouia
Hemidactylus_platyurus
Hemidactylus_turcicus
Iguana_iguana
Leiocephalus_carinatus
Leiocephalus_schreibersii
Leiolepis_belliana
Tarentola_annularis
Tupinambis_merianae
Varanus_niloticus
